split,balance,N,classifier,subject,eer,far_at_frr,frr_at_far
session,fixed,10,Threshold,s044,0.08920000000000002,0.768,0.288
session,fixed,10,Threshold,s046,0.1348,0.9064,0.43599999999999994
session,fixed,10,Threshold,s047,0.28280000000000005,0.9823999999999999,0.9120000000000001
session,fixed,10,Threshold,s048,0.1396,0.8608,0.384
session,fixed,10,Threshold,s049,0.055200000000000006,0.5784,0.13199999999999998
session,fixed,10,Threshold,s050,0.18159999999999998,0.9335999999999999,0.5980000000000001
session,fixed,10,Threshold,s051,0.22399999999999998,0.704,0.9
session,fixed,10,Threshold,s052,0.02000000000000001,0.6239999999999999,0.028000000000000025
session,fixed,10,Threshold,s053,0.0912,0.6768,0.248
session,fixed,10,Threshold,s054,0.1272,0.8488,0.8019999999999999
session,fixed,10,Threshold,s055,0.05800000000000001,0.5192,0.21400000000000002
session,fixed,10,Threshold,s056,0.14640000000000003,0.6816000000000001,0.658
session,fixed,10,Threshold,s057,0.2424,0.6904000000000001,0.914
session,fixed,10,Linear SVM,s002,0.22999999999999998,0.9256,0.944
session,fixed,10,Linear SVM,s003,0.04240000000000001,0.21519999999999997,0.16599999999999998
session,fixed,10,Linear SVM,s004,0.08120000000000001,0.5831999999999999,0.45200000000000007
session,fixed,10,Linear SVM,s005,0.1232,0.5608,0.9339999999999999
session,fixed,10,Linear SVM,s007,0.17120000000000002,0.7664,0.958
session,fixed,10,Linear SVM,s008,0.1688,0.7304,0.9400000000000001
session,fixed,10,Linear SVM,s010,0.047599999999999996,0.22560000000000002,0.586
session,fixed,10,Linear SVM,s011,0.064,0.3984,0.35799999999999993
session,fixed,10,Linear SVM,s012,0.07119999999999999,0.21280000000000002,0.496
session,fixed,10,Linear SVM,s013,0.08639999999999996,0.2768,0.6579999999999999
session,fixed,10,Linear SVM,s015,0.1768,0.8288,0.7
session,fixed,10,Linear SVM,s016,0.1432,0.3432,0.978
session,fixed,10,Linear SVM,s017,0.0516,0.4344,0.42799999999999994
session,fixed,10,Linear SVM,s018,0.10800000000000001,0.6192,0.47400000000000003
session,fixed,10,Linear SVM,s019,0.0628,0.4112,0.7819999999999999
session,fixed,10,Linear SVM,s020,0.14640000000000003,0.6328,0.9359999999999999
session,fixed,10,Linear SVM,s021,0.18239999999999998,0.8216000000000001,0.86
session,fixed,10,Linear SVM,s022,0.0308,0.26239999999999997,0.42800000000000005
session,fixed,10,Linear SVM,s024,0.05600000000000001,0.3056,0.4699999999999999
session,fixed,10,Linear SVM,s025,0.04520000000000002,0.592,0.6859999999999999
session,fixed,10,Linear SVM,s026,0.22479999999999997,0.8624,0.994
session,fixed,10,Linear SVM,s027,0.1,0.3944,0.834
session,fixed,10,Linear SVM,s028,0.08199999999999998,0.2904,0.632
session,fixed,10,Linear SVM,s029,0.11239999999999999,0.5704,0.852
session,fixed,10,Linear SVM,s030,0.042400000000000014,0.5376,0.74
session,fixed,10,Linear SVM,s031,0.2092,0.868,0.958
session,fixed,10,Linear SVM,s032,0.3176,0.9464,0.958
session,fixed,10,Linear SVM,s033,0.026000000000000013,0.13680000000000003,0.176
session,fixed,10,Linear SVM,s034,0.1268,0.8048,0.4659999999999999
session,fixed,10,Linear SVM,s035,0.12840000000000001,0.7631999999999999,0.5740000000000001
session,fixed,10,Linear SVM,s036,0.019600000000000017,0.076,0.020000000000000018
session,fixed,10,Linear SVM,s037,0.1936,0.6848,0.9620000000000001
session,fixed,10,Linear SVM,s038,0.0828,0.992,0.9039999999999999
session,fixed,10,Linear SVM,s039,0.06359999999999999,0.9736,0.76
session,fixed,10,Linear SVM,s040,0.06200000000000001,0.30799999999999994,0.44399999999999995
session,fixed,10,Linear SVM,s041,0.05160000000000002,0.22400000000000003,0.536
session,fixed,10,Linear SVM,s042,0.02280000000000001,0.06000000000000001,0.07999999999999999
session,fixed,10,Linear SVM,s043,0.0392,0.0696,0.558
session,fixed,10,Linear SVM,s044,0.1328,0.7944,0.828
session,fixed,10,Linear SVM,s046,0.12,0.5672,0.898
session,fixed,10,Linear SVM,s047,0.12680000000000002,0.8864000000000001,0.65
session,fixed,10,Linear SVM,s048,0.1204,0.8064,0.95
session,fixed,10,Linear SVM,s049,0.055200000000000006,0.3408,0.6519999999999999
session,fixed,10,Linear SVM,s050,0.1428,0.8783999999999998,0.782
session,fixed,10,Linear SVM,s051,0.08160000000000002,0.4864,0.8039999999999999
session,fixed,10,Linear SVM,s052,0.014400000000000005,0.4704,0.10600000000000001
session,fixed,10,Linear SVM,s053,0.04080000000000001,0.23759999999999998,0.3
session,fixed,10,Linear SVM,s054,0.2608,0.8312000000000002,0.968
session,fixed,10,Linear SVM,s055,0.0368,0.10719999999999999,0.30799999999999994
session,fixed,10,Linear SVM,s056,0.06599999999999999,0.3576,0.454
session,fixed,10,Linear SVM,s057,0.1756,0.756,0.9119999999999999
session,fixed,10,MLP,s002,0.43,0.9456,0.986
session,fixed,10,MLP,s003,0.12039999999999998,0.3792,0.526
session,fixed,10,MLP,s004,0.2968,0.9583999999999999,0.992
session,fixed,10,MLP,s005,0.08880000000000002,0.376,0.7639999999999999
session,fixed,10,MLP,s007,0.4636,0.8560000000000001,0.998
session,fixed,10,MLP,s008,0.42279999999999995,0.8144,1.0
session,fixed,10,MLP,s010,0.3343999999999999,0.7200000000000001,1.0
session,fixed,10,MLP,s011,0.4192,0.8328,0.984
session,fixed,10,MLP,s012,0.152,0.5936,0.8379999999999999
session,fixed,10,MLP,s013,0.39039999999999997,0.8712,0.99
session,fixed,10,MLP,s015,0.3252,0.8256,0.984
session,fixed,10,MLP,s016,0.2224,0.5536000000000001,0.942
session,fixed,10,MLP,s017,0.11440000000000002,0.7832000000000001,0.7939999999999999
session,fixed,10,MLP,s018,0.4464,0.9007999999999999,0.9800000000000001
session,fixed,10,MLP,s019,0.1324,0.5232,0.952
session,fixed,10,MLP,s020,0.45760000000000006,0.9704,0.994
session,fixed,10,MLP,s021,0.3264,0.8815999999999999,0.9960000000000001
session,fixed,10,MLP,s022,0.054000000000000006,0.24320000000000003,0.6220000000000001
session,fixed,10,MLP,s024,0.1792,0.5631999999999999,0.7620000000000001
session,fixed,10,MLP,s025,0.16720000000000002,0.808,0.9040000000000001
session,fixed,10,MLP,s026,0.2592,0.7088,0.9899999999999999
session,fixed,10,MLP,s027,0.3216,0.7687999999999999,1.0
session,fixed,10,MLP,s028,0.22359999999999997,0.6392,0.9460000000000001
session,fixed,10,MLP,s029,0.3164,0.8728,0.9880000000000001
session,fixed,10,MLP,s030,0.3088,0.9103999999999999,0.8220000000000001
session,fixed,10,MLP,s031,0.34199999999999997,0.8832000000000001,0.976
session,fixed,10,MLP,s032,0.5108,0.9632,0.992
session,fixed,10,MLP,s033,0.148,0.392,0.706
session,fixed,10,MLP,s034,0.6344,0.9527999999999999,0.992
session,fixed,10,MLP,s035,0.1692,0.8096,0.8460000000000001
session,fixed,10,MLP,s036,0.03680000000000001,0.0776,0.292
session,fixed,10,MLP,s037,0.33280000000000004,0.8200000000000001,0.984
session,fixed,10,MLP,s038,0.14679999999999999,0.9184000000000001,0.8160000000000001
session,fixed,10,MLP,s039,0.36960000000000004,0.9952,0.9860000000000001
session,fixed,10,MLP,s040,0.1768,0.8295999999999999,0.828
session,fixed,10,MLP,s041,0.23640000000000003,0.6008000000000001,0.722
session,fixed,10,MLP,s042,0.132,0.47040000000000004,0.808
session,fixed,10,MLP,s043,0.07559999999999997,0.688,0.632
session,fixed,10,MLP,s044,0.1748,0.9279999999999999,0.938
session,fixed,10,MLP,s046,0.26,0.9208000000000001,0.982
session,fixed,10,MLP,s047,0.32039999999999996,0.932,0.9259999999999999
session,fixed,10,MLP,s048,0.2116,0.6312,0.9960000000000001
session,fixed,10,MLP,s049,0.07599999999999998,0.536,0.48599999999999993
