N,classifier,subject,selected_params,tune_ms,fit_ms,bundle_kb,warmup_queries,timed_queries,pre_mean_ms,pre_sd_ms,pre_p50_ms,pre_p95_ms,pre_p99_ms,pre_max_ms,pre_n_queries,model_mean_ms,model_sd_ms,model_p50_ms,model_p95_ms,model_p99_ms,model_max_ms,model_n_queries,e2e_mean_ms,e2e_sd_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_max_ms,e2e_n_queries
50,Linear SVM,s013,"{""C"": 0.01}",5.8605,0.48725,1.8076171875,100,1000,0.054858068,0.011680723368772749,0.053625,0.05696105,0.07399049999999997,0.381291,1000,0.050471757,0.00870764954936897,0.049666,0.05233924999999999,0.05925749999999999,0.219208,1000,0.105536567,0.017347022742290174,0.1035,0.10872354999999999,0.15564690999999994,0.458666,1000
50,Linear SVM,s015,"{""C"": 0.01}",6.9145,0.506209,1.8076171875,100,1000,0.055590002,0.002978185952482411,0.054875,0.06129105,0.064792,0.081125,1000,0.051474422000000006,0.0031911233743473952,0.050625,0.0559253,0.06562708,0.085125,1000,0.10638539799999999,0.005412822964779474,0.105041,0.1139622,0.12471092,0.188083,1000
50,Linear SVM,s016,"{""C"": 0.1}",5.381834,0.552208,1.8076171875,100,1000,0.055488511000000004,0.0062942988545150085,0.0548955,0.058208050000000004,0.06737542,0.235292,1000,0.050742806,0.0023789405134072455,0.050334,0.053377049999999995,0.059166010000000005,0.097792,1000,0.105760258,0.006957003516555484,0.1047915,0.11029105,0.12184273999999999,0.239,1000
50,Linear SVM,s017,"{""C"": 0.01}",5.50725,0.514042,1.8076171875,100,1000,0.054148032,0.001867657817883325,0.053834,0.05629405,0.061604409999999984,0.076041,1000,0.050104742,0.0012443331452679427,0.049958,0.05154105,0.055005,0.064459,1000,0.103843503,0.0019187769289039033,0.103541,0.106916,0.11038167,0.121833,1000
50,Linear SVM,s018,"{""C"": 0.01}",5.585,0.494292,1.8076171875,100,1000,0.053828108,0.0013742080927640547,0.053583,0.05591905,0.056833840000000004,0.067417,1000,0.049828063,0.0009862225762985756,0.049792,0.051294049999999994,0.05291825,0.058,1000,0.102965216,0.0015482886588472802,0.102791,0.10571105,0.10733424999999999,0.111959,1000
50,Linear SVM,s019,"{""C"": 0.01}",5.967333,0.502041,1.8076171875,100,1000,0.053416838999999994,0.0012551509259550932,0.053209,0.05525,0.05700167,0.06675,1000,0.049932897000000004,0.000937908048744064,0.0498335,0.051333,0.05316783,0.058959,1000,0.10285417200000001,0.0018460412364469695,0.102666,0.1055021,0.10958425,0.118125,1000
50,Linear SVM,s020,"{""C"": 0.01}",5.868083,0.481417,1.8076171875,100,1000,0.05433143099999999,0.0015465881397816017,0.054083,0.0562521,0.059343579999999986,0.071708,1000,0.050237396000000004,0.0009829141403964994,0.050125,0.05175,0.05346024,0.058125,1000,0.10318933599999999,0.0017387737423918128,0.102875,0.105875,0.10971175999999999,0.119,1000
50,Linear SVM,s021,"{""C"": 100}",5.668,0.7955,1.80078125,100,1000,0.05365934299999999,0.0015875073886631402,0.053375,0.055875,0.05916866,0.06975,1000,0.049528908,0.0013446136997433639,0.049334,0.0509601,0.055550329999999995,0.062125,1000,0.102783485,0.002983256079288133,0.102333,0.10604405,0.11188290999999999,0.169333,1000
50,Linear SVM,s022,"{""C"": 0.01}",4.874041,0.48125,1.8076171875,100,1000,0.054075211,0.0021642767989657756,0.053708,0.056625,0.0628775,0.085708,1000,0.050178640000000004,0.0028734215321984517,0.049833,0.052085099999999995,0.05979283,0.12175,1000,0.103664101,0.005615894680624171,0.1028125,0.10834549999999998,0.11904532999999999,0.222,1000
50,Linear SVM,s024,"{""C"": 1}",5.812666,0.57475,1.80078125,100,1000,0.053141084,0.0014370248074550569,0.052875,0.05508605,0.05776374999999999,0.066292,1000,0.050074456999999996,0.001389649398085934,0.049917,0.051835099999999995,0.05516908,0.062875,1000,0.103393669,0.0022231846899447207,0.103041,0.1068351,0.11250208,0.124959,1000
50,Linear SVM,s025,"{""C"": 0.01}",6.090625,0.510083,1.8076171875,100,1000,0.054291619,0.0014857890640942223,0.054042,0.05625,0.05905324999999999,0.066583,1000,0.049911250000000004,0.0014919858824309874,0.049708,0.051419099999999995,0.05479575,0.068875,1000,0.10381347299999999,0.002132442041494055,0.1035,0.1067521,0.11387625,0.119,1000
50,Linear SVM,s026,"{""C"": 0.1}",5.052542,0.582416,1.8076171875,100,1000,0.05438003600000001,0.006692127212129737,0.053584,0.057708,0.06583774,0.242375,1000,0.050741843,0.00721795628188743,0.049917,0.0539601,0.06391601,0.208167,1000,0.104487665,0.011908696334324682,0.102917,0.1115893,0.12287916,0.391708,1000
50,Linear SVM,s027,"{""C"": 0.01}",5.442958,0.514208,1.8076171875,100,1000,0.053522034999999996,0.00163936819471797,0.05325,0.055542,0.059585919999999994,0.069542,1000,0.049593006,0.0014635648793682224,0.049416,0.051125,0.05641825,0.067709,1000,0.10255188300000001,0.002118995110326728,0.102208,0.10521105,0.11258384,0.121875,1000
