N,classifier,subject,selected_params
50,k-NN,s025,"{""k"": 1}"
50,k-NN,s026,"{""k"": 3}"
50,k-NN,s027,"{""k"": 1}"
50,k-NN,s028,"{""k"": 5}"
50,k-NN,s029,"{""k"": 3}"
50,k-NN,s030,"{""k"": 7}"
50,k-NN,s031,"{""k"": 5}"
50,k-NN,s032,"{""k"": 7}"
50,k-NN,s033,"{""k"": 3}"
50,k-NN,s034,"{""k"": 5}"
50,k-NN,s035,"{""k"": 5}"
50,k-NN,s036,"{""k"": 3}"
50,k-NN,s037,"{""k"": 5}"
50,k-NN,s038,"{""k"": 5}"
50,k-NN,s039,"{""k"": 3}"
50,k-NN,s040,"{""k"": 1}"
50,k-NN,s041,"{""k"": 1}"
50,k-NN,s042,"{""k"": 3}"
50,k-NN,s043,"{""k"": 7}"
50,k-NN,s044,"{""k"": 7}"
50,k-NN,s046,"{""k"": 5}"
50,k-NN,s047,"{""k"": 5}"
50,k-NN,s048,"{""k"": 3}"
50,k-NN,s049,"{""k"": 5}"
50,k-NN,s050,"{""k"": 3}"
50,k-NN,s051,"{""k"": 3}"
50,k-NN,s052,"{""k"": 3}"
50,k-NN,s053,"{""k"": 7}"
50,k-NN,s054,"{""k"": 1}"
50,k-NN,s055,"{""k"": 5}"
50,k-NN,s056,"{""k"": 5}"
50,k-NN,s057,"{""k"": 7}"
50,LDA,s002,{}
50,LDA,s003,{}
50,LDA,s004,{}
50,LDA,s005,{}
50,LDA,s007,{}
50,LDA,s008,{}
50,LDA,s010,{}
50,LDA,s011,{}
50,LDA,s012,{}
50,LDA,s013,{}
50,LDA,s015,{}
50,LDA,s016,{}
50,LDA,s017,{}
50,LDA,s018,{}
50,LDA,s019,{}
50,LDA,s020,{}
50,LDA,s021,{}
50,LDA,s022,{}
50,LDA,s024,{}
50,LDA,s025,{}
50,LDA,s026,{}
50,LDA,s027,{}
50,LDA,s028,{}
50,LDA,s029,{}
50,LDA,s030,{}
50,LDA,s031,{}
50,LDA,s032,{}
50,LDA,s033,{}
50,LDA,s034,{}
50,LDA,s035,{}
50,LDA,s036,{}
50,LDA,s037,{}
50,LDA,s038,{}
50,LDA,s039,{}
50,LDA,s040,{}
50,LDA,s041,{}
50,LDA,s042,{}
50,LDA,s043,{}
50,LDA,s044,{}
50,LDA,s046,{}
50,LDA,s047,{}
50,LDA,s048,{}
50,LDA,s049,{}
50,LDA,s050,{}
50,LDA,s051,{}
50,LDA,s052,{}
50,LDA,s053,{}
50,LDA,s054,{}
50,LDA,s055,{}
50,LDA,s056,{}
50,LDA,s057,{}
50,Threshold,s002,{}
50,Threshold,s003,{}
50,Threshold,s004,{}
50,Threshold,s005,{}
50,Threshold,s007,{}
50,Threshold,s008,{}
50,Threshold,s010,{}
50,Threshold,s011,{}
50,Threshold,s012,{}
50,Threshold,s013,{}
50,Threshold,s015,{}
50,Threshold,s016,{}
50,Threshold,s017,{}
50,Threshold,s018,{}
50,Threshold,s019,{}
50,Threshold,s020,{}
50,Threshold,s021,{}
50,Threshold,s022,{}
50,Threshold,s024,{}
50,Threshold,s025,{}
50,Threshold,s026,{}
50,Threshold,s027,{}
50,Threshold,s028,{}
50,Threshold,s029,{}
50,Threshold,s030,{}
50,Threshold,s031,{}
50,Threshold,s032,{}
50,Threshold,s033,{}
50,Threshold,s034,{}
50,Threshold,s035,{}
50,Threshold,s036,{}
50,Threshold,s037,{}
50,Threshold,s038,{}
50,Threshold,s039,{}
50,Threshold,s040,{}
50,Threshold,s041,{}
50,Threshold,s042,{}
50,Threshold,s043,{}
50,Threshold,s044,{}
50,Threshold,s046,{}
50,Threshold,s047,{}
50,Threshold,s048,{}
50,Threshold,s049,{}
50,Threshold,s050,{}
50,Threshold,s051,{}
50,Threshold,s052,{}
50,Threshold,s053,{}
50,Threshold,s054,{}
50,Threshold,s055,{}
50,Threshold,s056,{}
50,Threshold,s057,{}
50,Linear SVM,s002,"{""C"": 0.1}"
50,Linear SVM,s003,"{""C"": 1}"
50,Linear SVM,s004,"{""C"": 0.01}"
50,Linear SVM,s005,"{""C"": 0.1}"
50,Linear SVM,s007,"{""C"": 1}"
50,Linear SVM,s008,"{""C"": 0.1}"
50,Linear SVM,s010,"{""C"": 0.1}"
50,Linear SVM,s011,"{""C"": 0.01}"
50,Linear SVM,s012,"{""C"": 0.01}"
50,Linear SVM,s013,"{""C"": 0.01}"
50,Linear SVM,s015,"{""C"": 0.01}"
50,Linear SVM,s016,"{""C"": 0.1}"
50,Linear SVM,s017,"{""C"": 0.01}"
50,Linear SVM,s018,"{""C"": 0.01}"
50,Linear SVM,s019,"{""C"": 0.01}"
50,Linear SVM,s020,"{""C"": 0.01}"
50,Linear SVM,s021,"{""C"": 100}"
50,Linear SVM,s022,"{""C"": 0.01}"
50,Linear SVM,s024,"{""C"": 1}"
50,Linear SVM,s025,"{""C"": 0.01}"
50,Linear SVM,s026,"{""C"": 0.1}"
50,Linear SVM,s027,"{""C"": 0.01}"
50,Linear SVM,s028,"{""C"": 10}"
50,Linear SVM,s029,"{""C"": 0.01}"
50,Linear SVM,s030,"{""C"": 0.01}"
50,Linear SVM,s031,"{""C"": 0.01}"
50,Linear SVM,s032,"{""C"": 0.01}"
50,Linear SVM,s033,"{""C"": 0.1}"
50,Linear SVM,s034,"{""C"": 0.01}"
50,Linear SVM,s035,"{""C"": 100}"
50,Linear SVM,s036,"{""C"": 0.01}"
50,Linear SVM,s037,"{""C"": 1}"
50,Linear SVM,s038,"{""C"": 0.01}"
50,Linear SVM,s039,"{""C"": 0.01}"
50,Linear SVM,s040,"{""C"": 0.01}"
50,Linear SVM,s041,"{""C"": 0.01}"
50,Linear SVM,s042,"{""C"": 0.01}"
50,Linear SVM,s043,"{""C"": 0.01}"
50,Linear SVM,s044,"{""C"": 0.01}"
50,Linear SVM,s046,"{""C"": 0.01}"
50,Linear SVM,s047,"{""C"": 1}"
50,Linear SVM,s048,"{""C"": 0.1}"
50,Linear SVM,s049,"{""C"": 0.01}"
50,Linear SVM,s050,"{""C"": 10}"
50,Linear SVM,s051,"{""C"": 0.01}"
50,Linear SVM,s052,"{""C"": 0.01}"
50,Linear SVM,s053,"{""C"": 0.01}"
50,Linear SVM,s054,"{""C"": 0.01}"
50,Linear SVM,s055,"{""C"": 0.01}"
50,Linear SVM,s056,"{""C"": 0.01}"
50,Linear SVM,s057,"{""C"": 0.01}"
50,MLP,s002,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s003,"{""alpha"": 0.0001, ""h"": 128}"
