seed,subject,classifier,pca_components,eer_pct
2,1,k-NN,10,1.0000000000000004
2,1,LDA,10,0.5128205128205132
2,1,k-NN,20,1.4285714285714275
2,1,LDA,20,0.5128205128205132
2,1,k-NN,40,1.4285714285714275
2,1,LDA,40,2.0512820512820515
2,1,k-NN,80,0.9756097560975601
2,1,LDA,80,3.589743589743589
2,1,k-NN,150,0.5000000000000002
2,1,LDA,150,20.0
2,2,k-NN,10,0.0
2,2,LDA,10,0.0
2,2,k-NN,20,0.0
2,2,LDA,20,0.0
2,2,k-NN,40,0.0
2,2,LDA,40,0.0
2,2,k-NN,80,0.0
2,2,LDA,80,0.0
2,2,k-NN,150,0.0
2,2,LDA,150,0.0
2,3,k-NN,10,3.478260869565217
2,3,LDA,10,7.6923076923076925
2,3,k-NN,20,2.272727272727273
2,3,LDA,20,0.0
2,3,k-NN,40,0.0
2,3,LDA,40,0.0
2,3,k-NN,80,0.0
2,3,LDA,80,0.0
2,3,k-NN,150,0.0
2,3,LDA,150,0.0
2,4,k-NN,10,17.030567685589514
2,4,LDA,10,1.025641025641025
2,4,k-NN,20,17.030567685589514
2,4,LDA,20,0.5128205128205132
2,4,k-NN,40,1.4285714285714275
2,4,LDA,40,0.0
2,4,k-NN,80,1.4285714285714275
2,4,LDA,80,0.0
2,4,k-NN,150,1.0000000000000004
2,4,LDA,150,0.0
2,5,k-NN,10,2.7272727272727266
2,5,LDA,10,5.6410256410256405
2,5,k-NN,20,3.5555555555555562
2,5,LDA,20,2.0512820512820515
2,5,k-NN,40,17.105263157894733
2,5,LDA,40,4.615384615384616
2,5,k-NN,80,17.180616740088105
2,5,LDA,80,3.076923076923077
2,5,k-NN,150,4.680851063829786
2,5,LDA,150,2.564102564102564
2,6,k-NN,10,0.0
2,6,LDA,10,0.0
2,6,k-NN,20,0.0
2,6,LDA,20,0.0
2,6,k-NN,40,0.0
2,6,LDA,40,0.0
2,6,k-NN,80,0.0
2,6,LDA,80,0.0
2,6,k-NN,150,0.0
2,6,LDA,150,0.0
2,7,k-NN,10,0.5063291139240491
2,7,LDA,10,0.0
2,7,k-NN,20,1.0000000000000004
2,7,LDA,20,0.0
2,7,k-NN,40,0.0
2,7,LDA,40,0.0
2,7,k-NN,80,0.0
2,7,LDA,80,0.0
2,7,k-NN,150,0.0
2,7,LDA,150,0.0
2,8,k-NN,10,0.0
2,8,LDA,10,0.5128205128205132
2,8,k-NN,20,0.0
2,8,LDA,20,0.0
2,8,k-NN,40,0.0
2,8,LDA,40,0.0
2,8,k-NN,80,0.0
2,8,LDA,80,0.0
2,8,k-NN,150,0.0
2,8,LDA,150,0.0
2,9,k-NN,10,3.4042553191489358
2,9,LDA,10,0.0
2,9,k-NN,20,0.0
2,9,LDA,20,0.0
2,9,k-NN,40,0.0
2,9,LDA,40,0.0
2,9,k-NN,80,0.0
2,9,LDA,80,0.0
2,9,k-NN,150,1.4285714285714275
2,9,LDA,150,0.0
2,10,k-NN,10,16.666666666666664
2,10,LDA,10,2.0512820512820515
2,10,k-NN,20,16.666666666666664
2,10,LDA,20,0.0
2,10,k-NN,40,16.666666666666664
2,10,LDA,40,0.0
2,10,k-NN,80,16.666666666666664
2,10,LDA,80,0.0
2,10,k-NN,150,16.666666666666664
2,10,LDA,150,0.0
2,11,k-NN,10,0.0
2,11,LDA,10,0.5128205128205132
2,11,k-NN,20,0.0
2,11,LDA,20,0.0
2,11,k-NN,40,0.0
2,11,LDA,40,0.0
2,11,k-NN,80,0.0
2,11,LDA,80,0.0
2,11,k-NN,150,0.0
2,11,LDA,150,0.0
2,12,k-NN,10,0.0
2,12,LDA,10,0.0
2,12,k-NN,20,0.0
2,12,LDA,20,0.0
2,12,k-NN,40,0.0
2,12,LDA,40,0.0
2,12,k-NN,80,0.0
2,12,LDA,80,0.0
2,12,k-NN,150,0.0
2,12,LDA,150,0.0
2,13,k-NN,10,0.0
2,13,LDA,10,1.025641025641025
2,13,k-NN,20,0.0
2,13,LDA,20,0.5128205128205132
2,13,k-NN,40,0.0
2,13,LDA,40,0.0
2,13,k-NN,80,0.0
2,13,LDA,80,2.564102564102564
2,13,k-NN,150,0.0
2,13,LDA,150,3.589743589743589
2,14,k-NN,10,0.0
2,14,LDA,10,0.0
2,14,k-NN,20,0.0
2,14,LDA,20,0.0
2,14,k-NN,40,0.0
2,14,LDA,40,0.0
2,14,k-NN,80,0.0
2,14,LDA,80,0.0
2,14,k-NN,150,0.0
2,14,LDA,150,0.0
2,15,k-NN,10,2.0168067226890773
