subject,classifier,pca_components,eer_pct,split_sd_pct,n_splits
20,LDA,150,0.2564102564102565,0.49837195682438473,10
20,k-NN,10,9.390601268650048,12.064149347880956,10
20,k-NN,20,1.717514124293785,5.255026974251579,10
20,k-NN,40,1.6666666666666665,5.270462766947298,10
20,k-NN,80,1.6666666666666665,5.270462766947298,10
20,k-NN,150,1.6666666666666665,5.270462766947298,10
21,LDA,10,4.102564102564102,4.8349181619592985,10
21,LDA,20,0.5128205128205128,0.6837606837606838,10
21,LDA,40,0.0,0.0,10
21,LDA,80,0.0,0.0,10
21,LDA,150,0.0,0.0,10
21,k-NN,10,0.9463438555694548,1.3327499505049525,10
21,k-NN,20,0.0,0.0,10
21,k-NN,40,0.050000000000000024,0.15811388300841903,10
21,k-NN,80,0.050000000000000024,0.15811388300841903,10
21,k-NN,150,0.050000000000000024,0.15811388300841903,10
22,LDA,10,2.41025641025641,0.594616312168413,10
22,LDA,20,0.4615384615384615,0.44902309526713474,10
22,LDA,40,0.8205128205128206,0.9730085108210396,10
22,LDA,80,0.8205128205128206,0.6922549309851825,10
22,LDA,150,1.7435897435897434,2.4077698272354207,10
22,k-NN,10,0.097560975609756,0.3085148936749636,10
22,k-NN,20,0.0,0.0,10
22,k-NN,40,0.0,0.0,10
22,k-NN,80,0.0,0.0,10
22,k-NN,150,0.0,0.0,10
23,LDA,10,7.230769230769231,4.843673523758899,10
23,LDA,20,5.333333333333333,5.072057295905155,10
23,LDA,40,1.5384615384615388,2.7457057101211984,10
23,LDA,80,0.8205128205128205,1.3717882152300087,10
23,LDA,150,0.717948717948718,1.2135548273024854,10
23,k-NN,10,11.263120822757367,12.934174922547411,10
23,k-NN,20,8.877363228012443,10.205619424456998,10
23,k-NN,40,7.589591949068742,9.812014517672992,10
23,k-NN,80,5.963673034188828,7.618370009510666,10
23,k-NN,150,6.377175072062099,7.428622148562901,10
24,LDA,10,3.3846153846153846,4.6826375844824435,10
24,LDA,20,1.641025641025641,3.6885070657808345,10
24,LDA,40,0.4102564102564104,0.9609209793200135,10
24,LDA,80,0.05128205128205132,0.16216808513684008,10
24,LDA,150,0.15384615384615397,0.24771584181520426,10
24,k-NN,10,5.454251896325674,7.7472006348886655,10
24,k-NN,20,0.09999999999999991,0.31622776601683766,10
24,k-NN,40,0.097560975609756,0.30851489367496354,10
24,k-NN,80,0.19756097560975605,0.4165347798408989,10
24,k-NN,150,0.3,0.48304589153964794,10
25,LDA,10,4.82051282051282,5.066292937529628,10
25,LDA,20,3.8461538461538467,7.020003144745665,10
25,LDA,40,0.7692307692307689,2.0970673754504774,10
25,LDA,80,1.1282051282051282,2.4271096546049704,10
25,LDA,150,1.3333333333333333,4.03939979151916,10
25,k-NN,10,1.9394112850003666,1.161284111514411,10
25,k-NN,20,3.282003899130177,4.980275927166559,10
25,k-NN,40,2.737914861941318,5.126112558384643,10
25,k-NN,80,1.3124892334194667,1.4539320214874123,10
25,k-NN,150,1.7348079046692928,1.713089419214241,10
26,LDA,10,4.717948717948718,3.632629458909947,10
26,LDA,20,3.897435897435898,4.491532280318631,10
26,LDA,40,4.717948717948718,7.005627909913268,10
26,LDA,80,3.230769230769231,4.311285978952799,10
26,LDA,150,3.282051282051282,6.2630388499443335,10
26,k-NN,10,0.5304392943618121,0.6521456150610363,10
26,k-NN,20,0.3880371660859466,0.6301855006781574,10
26,k-NN,40,0.2825581395348836,0.7348422207233405,10
26,k-NN,80,0.19047619047619055,0.6023386019368344,10
26,k-NN,150,0.24390243902439024,0.5268894876754359,10
27,LDA,10,0.25641025641025633,0.43581363364040876,10
27,LDA,20,0.4102564102564104,0.6303962022080607,10
27,LDA,40,0.0,0.0,10
27,LDA,80,0.0,0.0,10
27,LDA,150,0.0,0.0,10
27,k-NN,10,0.333607487237663,0.6280662818590051,10
27,k-NN,20,0.050000000000000024,0.15811388300841903,10
27,k-NN,40,0.0,0.0,10
27,k-NN,80,0.050000000000000024,0.15811388300841903,10
27,k-NN,150,0.0,0.0,10
28,LDA,10,8.871794871794872,4.187510869100762,10
28,LDA,20,6.0,4.606195347139539,10
28,LDA,40,7.589743589743589,7.158291871891912,10
28,LDA,80,6.3589743589743595,7.6759560298104255,10
28,LDA,150,6.3589743589743595,7.664527233909257,10
28,k-NN,10,8.89863833027881,8.268830978499038,10
28,k-NN,20,10.716345807469319,7.975964031839477,10
28,k-NN,40,10.550499983212688,8.127954048371569,10
28,k-NN,80,10.431347375499534,8.228632019805362,10
28,k-NN,150,10.555096429408495,8.108756091347727,10
29,LDA,10,5.230769230769231,1.5441490311981148,10
29,LDA,20,0.8205128205128205,1.1892326243368265,10
29,LDA,40,0.0,0.0,10
29,LDA,80,0.0,0.0,10
29,LDA,150,0.0,0.0,10
29,k-NN,10,2.8536667140993464,0.9989264981937309,10
29,k-NN,20,1.1272833574823966,1.3143857261985696,10
29,k-NN,40,0.4279056386651323,0.6944723074065592,10
29,k-NN,80,0.4183544604282391,0.8587025289738134,10
29,k-NN,150,0.5060284983558636,0.9852166254317791,10
30,LDA,10,2.769230769230769,2.1102631606168836,10
30,LDA,20,2.102564102564102,0.8180161445473776,10
30,LDA,40,2.0512820512820515,3.1426968052735447,10
30,LDA,80,0.6666666666666667,1.1351765959578797,10
30,LDA,150,0.5128205128205129,1.0256410256410258,10
30,k-NN,10,0.38116846284741895,0.659298050166668,10
30,k-NN,20,0.32890365448504977,0.7008225830396807,10
30,k-NN,40,0.0,0.0,10
30,k-NN,80,0.050000000000000024,0.15811388300841903,10
30,k-NN,150,0.10000000000000005,0.21081851067789203,10
31,LDA,10,3.487179487179487,2.948903747397993,10
31,LDA,20,2.8205128205128203,2.852704148423699,10
31,LDA,40,0.8205128205128205,1.1130817501606636,10
31,LDA,80,0.2564102564102565,0.6509207782789667,10
31,LDA,150,0.0,0.0,10
31,k-NN,10,2.8571428571428568,9.035079029052511,10
31,k-NN,20,1.6666666666666665,5.270462766947299,10
31,k-NN,40,1.6666666666666665,5.270462766947299,10
31,k-NN,80,4.523809523809524,9.94124842547412,10
31,k-NN,150,4.523809523809524,9.94124842547412,10
32,LDA,10,0.8717948717948719,0.9684933657583107,10
32,LDA,20,0.05128205128205132,0.16216808513684008,10
32,LDA,40,0.0,0.0,10
32,LDA,80,0.3076923076923077,0.9730085108210398,10
32,LDA,150,3.5252627688201885,7.166869732771944,10
32,k-NN,10,3.500962352587122,6.980534311093994,10
32,k-NN,20,6.673819742489269,8.615888983704096,10
32,k-NN,40,0.0,0.0,10
32,k-NN,80,1.6666666666666665,5.270462766947298,10
32,k-NN,150,1.6666666666666665,5.270462766947298,10
33,LDA,10,3.230769230769231,2.7141294457984,10
33,LDA,20,5.538461538461538,6.472292412279922,10
33,LDA,40,0.9743589743589741,1.4793980528833368,10
33,LDA,80,1.5897435897435896,2.4588066512628135,10
33,LDA,150,2.8717948717948714,4.237109985594439,10
33,k-NN,10,0.3404181184668988,0.5092244395939459,10
33,k-NN,20,0.14756097560975603,0.33066800755166814,10
33,k-NN,40,0.050000000000000024,0.15811388300841903,10
33,k-NN,80,0.050000000000000024,0.15811388300841903,10
33,k-NN,150,0.0,0.0,10
34,LDA,10,0.9230769230769228,0.6303962022080607,10
34,LDA,20,0.0,0.0,10
34,LDA,40,0.0,0.0,10
34,LDA,80,0.0,0.0,10
34,LDA,150,1.6666666666666665,5.270462766947299,10
34,k-NN,10,0.0,0.0,10
34,k-NN,20,0.0,0.0,10
34,k-NN,40,0.0,0.0,10
34,k-NN,80,0.0,0.0,10
34,k-NN,150,0.0,0.0,10
35,LDA,10,31.333333333333332,11.20786278379115,10
35,LDA,20,15.333333333333334,8.203169281829142,10
35,LDA,40,7.846153846153845,8.293857848965537,10
35,LDA,80,1.1794871794871795,1.2573111486108235,10
35,LDA,150,0.8717948717948717,1.0824711247170984,10
35,k-NN,10,26.383512794172407,12.402264776153297,10
35,k-NN,20,26.262904367339694,10.839297533962245,10
35,k-NN,40,20.94743002703616,14.134375974632905,10
35,k-NN,80,20.87476142458411,14.164659031984863,10
35,k-NN,150,20.882101910185465,14.162379455960323,10
36,LDA,10,3.641025641025641,2.154795612192399,10
36,LDA,20,1.6923076923076923,1.1855412570529709,10
36,LDA,40,0.5641025641025641,1.6117401116339374,10
36,LDA,80,0.6153846153846155,1.2514875362545728,10
36,LDA,150,0.4615384615384617,0.509963551800899,10
36,k-NN,10,5.559097160225624,6.253902964589421,10
36,k-NN,20,4.466031509474133,8.617242838604902,10
36,k-NN,40,2.6197808366378914,5.044825498339575,10
36,k-NN,80,2.272530345862144,5.174268943489436,10
36,k-NN,150,2.129673203005001,5.219680468957742,10
37,LDA,10,5.794871794871794,3.965296164511753,10
37,LDA,20,2.8205128205128207,6.207035095851387,10
