seed,subject,requested_components,actual_components,explained_variance,explained_variance_pct
2,27,40,40,0.8110522788676234,81.10522788676235
2,27,80,80,0.9049484944176508,90.49484944176508
2,27,150,150,0.9769984015701244,97.69984015701245
2,28,10,10,0.6014274133707342,60.142741337073424
2,28,20,20,0.7096992948407236,70.96992948407235
2,28,40,40,0.8119610995088669,81.19610995088668
2,28,80,80,0.905762925823363,90.57629258233631
2,28,150,150,0.9771457041271623,97.71457041271623
2,29,10,10,0.5970547375344428,59.70547375344428
2,29,20,20,0.7060345438501411,70.6034543850141
2,29,40,40,0.8096792623742803,80.96792623742803
2,29,80,80,0.9042880591902338,90.42880591902338
2,29,150,150,0.9768561378360839,97.68561378360839
2,30,10,10,0.5976318572229861,59.76318572229861
2,30,20,20,0.7068240876603232,70.68240876603232
2,30,40,40,0.8101154303159921,81.0115430315992
2,30,80,80,0.9045691289231146,90.45691289231146
2,30,150,150,0.9769315288124034,97.69315288124034
2,31,10,10,0.5986325386047391,59.86325386047391
2,31,20,20,0.7069887271814289,70.6988727181429
2,31,40,40,0.8105436589995645,81.05436589995645
2,31,80,80,0.9047778534650948,90.47778534650948
2,31,150,150,0.9769728363698177,97.69728363698177
2,32,10,10,0.599026710213392,59.9026710213392
2,32,20,20,0.7074278425228917,70.74278425228917
2,32,40,40,0.8104571325064951,81.04571325064951
2,32,80,80,0.9046477138244677,90.46477138244677
2,32,150,150,0.9769561709237647,97.69561709237648
2,33,10,10,0.5989693451013626,59.896934510136255
2,33,20,20,0.7075207849481208,70.75207849481208
2,33,40,40,0.810521717275573,81.0521717275573
2,33,80,80,0.9045762823482836,90.45762823482836
2,33,150,150,0.9769642814510264,97.69642814510264
2,34,10,10,0.5983631482669337,59.83631482669337
2,34,20,20,0.7076334958938075,70.76334958938075
2,34,40,40,0.8105891368811189,81.05891368811189
2,34,80,80,0.9048413099056614,90.48413099056614
2,34,150,150,0.9771288791993131,97.71288791993132
2,35,10,10,0.5974016008456838,59.74016008456838
2,35,20,20,0.7069814768719098,70.69814768719098
2,35,40,40,0.8106992834910903,81.06992834910903
2,35,80,80,0.9048567193583299,90.48567193583298
2,35,150,150,0.9770467206056079,97.7046720605608
2,36,10,10,0.5976806119435498,59.768061194354985
